rating,problem_rating,submissions,volatility,success_rate,new_rating
2734,3411,2,166,0.53,2690
566,3341,6,118,0.3,356
2606,2560,4,198,0.95,2708
2841,2192,7,141,0.42,2776
641,3154,3,73,0.19,520
2159,3404,10,87,0.17,1744
2565,1591,6,197,0.91,2734
3370,3912,5,87,0.77,3316
1635,3481,5,153,0.65,1548
3735,1833,9,86,0.55,3618
2601,1232,4,74,0.2,2515
2967,2759,3,85,0.93,3022
3634,3299,6,174,0.54,3648
1352,1256,7,196,0.28,1224
2160,3253,10,143,0.01,1665
1089,1167,9,184,0.77,1057
1322,1281,7,87,0.34,1140
3877,810,3,101,0.02,3831
1961,2399,9,146,0.29,1652
3534,1837,8,183,0.0,3317
2974,2286,8,170,0.49,2937
2784,1888,3,188,0.98,2968
1801,2240,5,123,0.6,1710
2035,3520,8,189,0.58,1867
3478,3316,8,153,0.01,3192
2639,685,7,190,0.17,2538
1473,1485,2,162,0.2,1471
2849,1696,6,57,0.93,2885
1158,2603,3,96,1.0,1158
1596,502,7,189,0.19,1501
1456,2455,2,89,0.43,1399
3149,1501,1,145,0.58,3273
1109,3932,9,178,0.76,1001
2478,2594,2,79,0.57,2462
1818,1763,5,105,0.38,1724
2537,1662,9,185,0.69,2581
1339,1425,2,85,0.26,1297
3611,2194,8,154,0.11,3409
696,3031,9,198,0.12,300
3146,876,4,74,0.68,3156
3286,3216,1,104,0.44,3320
2750,3181,8,74,0.06,2380
3204,2453,7,77,0.91,3248
1333,3477,1,63,0.63,1315
3646,2390,6,162,0.93,3787
1706,2642,6,144,0.1,1437
1078,2795,8,171,0.96,1062
1114,1322,10,138,0.89,1091
3210,2772,8,146,0.22,3033
537,3542,1,70,0.19,497
2911,3132,10,98,0.45,2657
2854,2677,1,186,0.13,2947
3910,1809,5,148,0.66,3973
2683,1178,10,98,0.41,2486
2936,2835,3,52,0.84,2945
2222,3343,8,125,0.31,1946
3104,1810,6,103,0.99,3204
1014,2514,5,84,0.64,924
811,3887,6,109,0.0,511
3793,2571,8,68,0.85,3801
2298,2361,7,115,0.28,2093
1787,3764,3,160,0.14,1658
3415,3011,9,134,0.61,3362
3450,1670,1,180,0.92,3626
3220,974,1,132,0.29,3316
1236,3831,2,167,0.77,1213
3738,3140,7,50,0.02,3443
1846,1914,10,156,0.83,1824
2332,1168,9,76,0.27,2079
593,714,2,140,0.04,544
2888,1165,5,105,0.84,2953
591,1187,8,172,0.9,556
3838,1891,5,174,0.21,3814
2428,1190,3,149,0.55,2509
2573,3682,1,81,0.67,2557
3061,2799,7,60,0.48,2928
3619,2114,4,187,0.82,3770
1296,1472,8,147,0.38,1087
1981,2034,5,66,0.94,1994
592,2796,7,97,0.47,407
565,2956,2,122,0.99,564
3560,3579,6,184,0.56,3515
1252,1966,9,135,0.0,804
809,3363,2,61,0.07,716
3271,605,8,142,0.41,3177
2829,3998,4,64,0.61,2751
1681,655,1,82,0.26,1726
1824,1072,1,68,0.43,1863
3125,1782,6,70,0.95,3180
1049,2622,1,82,0.15,1007
2936,2443,6,58,0.05,2706
2327,2431,8,121,0.75,2270
3530,2482,5,65,0.7,3520
2000,2928,9,70,0.03,1564
2618,1824,6,95,0.4,2532
2236,2088,3,155,0.37,2250
1869,2911,7,70,0.95,1852
1020,2323,9,109,0.55,818
2093,801,6,96,0.03,1898
2023,715,7,193,0.06,1887
2107,2938,1,165,0.96,2106
3544,1248,4,130,0.11,3496
1244,2683,10,153,0.83,1159
1783,2537,6,67,0.07,1505
868,1474,9,69,0.18,501
3976,779,4,84,0.02,3864
3935,3572,8,53,0.06,3606
2002,3686,7,85,0.58,1855
1258,1332,9,79,0.14,902
1442,2802,4,143,0.78,1398
2245,1592,8,109,0.88,2304
2020,823,6,88,0.83,2057
3767,1059,9,55,0.53,3610
933,2562,2,65,0.58,891
674,886,1,53,0.14,643
2823,1558,2,64,0.52,2839
3958,3010,2,112,0.06,3976
2349,2330,2,117,0.51,2362
2546,671,6,173,0.06,2437
2779,995,9,178,0.38,2678
2977,3205,2,51,0.14,2902
2110,2536,10,101,0.08,1658
1860,1973,5,76,0.01,1639
801,1704,4,189,0.44,690
1997,1470,3,193,0.7,2136
2935,1481,6,126,0.13,2800
3987,1553,5,66,0.31,3880
3334,2887,5,83,0.28,3231
2525,1174,10,186,0.7,2561
3631,1350,4,112,0.35,3613
1748,1941,8,193,0.9,1756
3215,3240,10,151,0.86,3215
3040,2488,6,99,0.79,3072
2723,1728,7,95,0.6,2678
2292,1754,2,102,0.32,2322
1426,955,6,121,0.09,1266
2554,2141,2,53,0.37,2539
1777,3828,6,53,0.18,1531
1913,659,10,165,0.51,1833
3339,3317,9,71,0.2,3017
1320,895,3,183,0.85,1466
1678,2086,8,179,0.88,1646
2324,2421,1,121,0.16,2326
1857,2153,10,185,0.18,1475
2673,2020,9,115,0.38,2506
2568,2762,4,57,0.99,2580
2107,838,3,60,1.0,2167
1836,1975,9,111,0.62,1699
2270,3484,4,87,0.3,2130
3730,948,10,144,0.46,3604
2184,3337,8,168,0.66,2048
2886,1277,3,142,0.93,3017
2344,710,10,90,0.77,2319
3058,896,10,76,0.38,2824
540,2320,2,156,0.2,460
1093,2645,10,72,0.94,1063
