Easy (A1 words):
The baby giggles while playing with a colorful ball. (missing word: ball, level: easy, suggested image prompt: a baby playing with a ball)
The sun shines brightly in the sky. (missing word: sky, level: easy, suggested image prompt: a sunny sky)
The dog eagerly chases its tail in the yard. (missing word: yard, level: easy, suggested image prompt: a dog chasing its tail in a backyard)
The child happily blows bubbles with a wand. (missing word: wand, level: easy, suggested image prompt: a child blowing bubbles with a wand)
The teacher writes on the board with chalk. (missing word: board, level: easy, suggested image prompt: a teacher writing on a chalkboard)
The bird chirps happily in its cage. (missing word: cage, level: easy, suggested image prompt: a bird singing in a cage)
The girl swings back and forth on the swing. (missing word: swing, level: easy, suggested image prompt: a girl swinging on a swing)
The student takes notes with a pen. (missing word: pen, level: easy, suggested image prompt: a hand holding a pen)
The bee buzzes around the colorful flowers. (missing word: flowers, level: easy, suggested image prompt: a bee hovering over flowers)
The baby reaches out for the shiny keys. (missing word: keys, level: easy, suggested image prompt: a baby reaching for keys)
The cat lazily stretches out on the cozy rug. (missing word: rug, level: easy, suggested image prompt: a cat lounging on a rug)
The child eagerly plays with a balloon at the party. (missing word: balloon, level: easy, suggested image prompt: a child playing with a balloon)
The chef skillfully chops vegetables on the wooden cutting board. (missing word: cutting, level: easy, suggested image prompt: a chef chopping vegetables on a cutting board)
The family enjoys a picnic on the green grass. (missing word: grass, level: easy, suggested image prompt: a picnic blanket laid out on grass with a family sitting around)
The little boy plays with his toy train on the floor. (missing word: train, level: easy, suggested image prompt: a child playing with a toy train)



Medium (A2 and B1 words):
The cyclist rides a bike along the paved path. (missing word: path, level: medium, suggested image prompt: a cyclist riding along a path)
The children play with building blocks on the colorful carpet. (missing word: carpet, level: medium, suggested image prompt: children playing with blocks on a carpet)
The artist paints a picture on the wooden easel. (missing word: easel, level: medium, suggested image prompt: an artist painting on an easel)
The family gathers around the wooden table for dinner. (missing word: table, level: medium, suggested image prompt: a family sitting around a dinner table)
The mechanic fixes the car's engine with a wrench in the garage. (missing word: garage, level: medium, suggested image prompt: a mechanic working in a garage)
The musician plays a tune on the grand piano. (missing word: piano, level: medium, suggested image prompt: a musician playing a piano)
The hiker walks through the dense forest. (missing word: forest, level: medium, suggested image prompt: a hiker walking through a forest)
The baker kneads dough on the floured counter. (missing word: counter, level: medium, suggested image prompt: a baker kneading dough on a counter)
The child flies a kite in the open field. (missing word: field, level: medium, suggested image prompt: a child flying a kite in a field)
The musician plays a tune on the wooden violin. (missing word: violin, level: medium, suggested image prompt: a musician playing a violin)
The painter mixes colors on the plastic palette. (missing word: palette, level: medium, suggested image prompt: a painter mixing colors on a palette)
The librarian organizes books on the tall shelf. (missing word: shelf, level: medium, suggested image prompt: a bookshelf filled with neatly arranged books)
The gardener waters the colorful flowers in the garden. (missing word: flowers, level: medium, suggested image prompt: a gardener watering flowers in a garden)
The builder constructs a house with sturdy bricks. (missing word: bricks, level: medium, suggested image prompt: a builder using bricks to construct a house)
The scientist conducts experiments in the modern laboratory. (missing word: laboratory, level: medium, suggested image prompt: a scientist working in a laboratory)
Next, I'll continue with the Hard and Super levels.

Hard (B2 and C1 words):
